record_id,cell_id,organism,cell_type,experimental_batch,replicate,experimental_condition,medium,temperature_celsius,generation,division_start_time,division_end_time,division_duration_minutes,cell_cycle_duration_hours,growth_rate_per_hour,is_outlier,quality_flag,notes
11,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q3,2,Rapamycin Inhibition (10 nM),YPD Broth,30.0,1,2024-03-08T16:24:00,2024-03-08T16:55:31.200000,31.52,3.21,0.2159,False,PASS,Synthetic benchmark observation #11. Seed=42
12,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q2,3,Thermal Stress (+5°C),YPD Broth,35.0,2,2024-03-09T08:36:00,2024-03-09T09:07:06.600000,31.11,2.59,0.2676,False,PASS,Synthetic benchmark observation #12. Seed=42
13,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q2,1,Control (Standard Media),YPD Broth,30.0,3,2024-03-10T00:48:00,2024-03-10T01:13:48,25.8,2.01,0.3448,False,PASS,Synthetic benchmark observation #13. Seed=42
14,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q2,2,Thermal Stress (+5°C),YPD Broth,35.0,4,2024-03-10T17:00:00,2024-03-10T17:31:57,31.95,2.59,0.2676,False,PASS,Synthetic benchmark observation #14. Seed=42
15,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q2,3,Control (Standard Media),YPD Broth,30.0,5,2024-03-11T09:12:00,2024-03-11T11:09:00,117.0,4.62,0.15,True,OUTLIER_SPECIES_DURATION,Synthetic benchmark observation #15. Seed=42
16,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q2,1,Control (Standard Media),YPD Broth,30.0,1,2024-03-12T01:24:00,2024-03-12T01:51:07.800000,27.13,2.12,0.327,False,PASS,Synthetic benchmark observation #16. Seed=42
17,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q4,2,Nutrient Depletion (0.1% Glucose),YPD Broth,30.0,2,2024-03-12T17:36:00,2024-03-12T18:08:13.800000,32.23,3.02,0.2295,False,PASS,Synthetic benchmark observation #17. Seed=42
18,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q2,3,Thermal Stress (+5°C),YPD Broth,35.0,3,2024-03-13T09:48:00,2024-03-13T10:18:16.200000,30.27,2.42,0.2864,False,PASS,Synthetic benchmark observation #18. Seed=42
19,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q4,1,Thermal Stress (+5°C),YPD Broth,35.0,4,2024-03-14T02:00:00,2024-03-14T02:29:18,29.3,2.68,0.2586,False,PASS,Synthetic benchmark observation #19. Seed=42
20,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q2,2,Nutrient Depletion (0.1% Glucose),YPD Broth,30.0,5,2024-03-14T18:12:00,2024-03-14T18:41:33.600000,29.56,2.65,0.2616,False,PASS,Synthetic benchmark observation #20. Seed=42
21,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q2,3,Control (Standard Media),YPD Broth,30.0,1,2024-03-15T10:24:00,2024-03-15T10:49:36,25.6,2.2,0.3151,False,PASS,Synthetic benchmark observation #21. Seed=42
22,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q4,1,Control (Standard Media),YPD Broth,30.0,2,2024-03-16T02:36:00,2024-03-16T03:02:09,26.15,2.27,0.3054,False,PASS,Synthetic benchmark observation #22. Seed=42
23,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q1,2,Osmotic Stress (0.4M Sorbitol),YPD Broth,30.0,3,2024-03-16T18:48:00,2024-03-16T19:21:36,33.6,2.56,0.2708,False,PASS,Synthetic benchmark observation #23. Seed=42
24,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q3,3,Thermal Stress (+5°C),YPD Broth,35.0,4,2024-03-17T11:00:00,2024-03-17T11:29:30.600000,29.51,2.36,0.2937,False,PASS,Synthetic benchmark observation #24. Seed=42
25,CELL-SC-001,Saccharomyces cerevisiae,Budding yeast,BATCH-2024-Q1,1,Rapamycin Inhibition (10 nM),YPD Broth,30.0,5,2024-03-18T03:12:00,2024-03-18T03:44:12,32.2,3.23,0.2146,False,PASS,Synthetic benchmark observation #25. Seed=42
26,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,1,Osmotic Stress (0.4M Sorbitol),LB Broth,37.0,1,2024-03-16T22:24:00,2024-03-16T22:43:40.800000,19.68,0.79,0.8774,False,PASS,Synthetic benchmark observation #26. Seed=42
27,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,2,Osmotic Stress (0.4M Sorbitol),LB Broth,37.0,2,2024-03-17T14:36:00,2024-03-17T14:55:21,19.35,0.88,0.7877,False,PASS,Synthetic benchmark observation #27. Seed=42
28,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q1,3,Osmotic Stress (0.4M Sorbitol),LB Broth,37.0,3,2024-03-18T06:48:00,2024-03-18T07:05:42.600000,17.71,0.84,0.8252,False,PASS,Synthetic benchmark observation #28. Seed=42
29,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q3,1,Thermal Stress (+5°C),LB Broth,42.0,4,2024-03-18T23:00:00,2024-03-18T23:17:27,17.45,0.75,0.9242,False,PASS,Synthetic benchmark observation #29. Seed=42
30,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q1,2,Osmotic Stress (0.4M Sorbitol),LB Broth,37.0,5,2024-03-19T15:12:00,2024-03-19T15:32:12,20.2,0.79,0.8774,False,PASS,Synthetic benchmark observation #30. Seed=42
31,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,3,Nutrient Depletion (0.1% Glucose),LB Broth,37.0,1,2024-03-20T07:24:00,2024-03-20T07:42:39.600000,18.66,0.94,0.7374,False,PASS,Synthetic benchmark observation #31. Seed=42
32,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q4,1,Osmotic Stress (0.4M Sorbitol),LB Broth,37.0,2,2024-03-20T23:36:00,2024-03-20T23:56:10.800000,20.18,0.9,0.7702,False,PASS,Synthetic benchmark observation #32. Seed=42
33,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q3,2,Nutrient Depletion (0.1% Glucose),LB Broth,37.0,3,2024-03-21T15:48:00,2024-03-21T16:07:29.400000,19.49,0.9,0.7702,False,PASS,Synthetic benchmark observation #33. Seed=42
34,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q4,3,Osmotic Stress (0.4M Sorbitol),LB Broth,36.2,4,2024-03-22T08:00:00,2024-03-22T08:19:32.400000,19.54,0.82,0.8453,False,PASS,Synthetic benchmark observation #34. Seed=42
35,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,1,Nutrient Depletion (0.1% Glucose),LB Broth,37.6,5,2024-03-23T00:12:00,2024-03-23T00:30:16.200000,18.27,0.82,0.8453,False,PASS,Synthetic benchmark observation #35. Seed=42
36,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q3,2,Control (Standard Media),LB Broth,36.2,1,2024-03-23T16:24:00,2024-03-23T16:39:05.400000,15.09,0.67,1.0345,False,PASS,Synthetic benchmark observation #36. Seed=42
37,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q4,3,Nutrient Depletion (0.1% Glucose),LB Broth,37.0,2,2024-03-24T08:36:00,2024-03-24T08:55:37.800000,19.63,0.87,0.7967,False,PASS,Synthetic benchmark observation #37. Seed=42
38,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q1,1,Control (Standard Media),LB Broth,49.5,3,2024-03-25T00:48:00,2024-03-25T01:12:00,24.0,1.3,0.5332,True,OUTLIER_SPECIES_TEMP,Synthetic benchmark observation #38. Seed=42
39,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q1,2,Control (Standard Media),LB Broth,37.7,4,2024-03-25T17:00:00,2024-03-25T17:14:45,14.75,0.68,1.0193,False,PASS,Synthetic benchmark observation #39. Seed=42
40,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,3,Nutrient Depletion (0.1% Glucose),LB Broth,37.0,5,2024-03-26T09:12:00,2024-03-26T09:30:43.800000,18.73,0.83,0.8351,False,PASS,Synthetic benchmark observation #40. Seed=42
41,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,1,Rapamycin Inhibition (10 nM),LB Broth,37.0,1,2024-03-27T01:24:00,2024-03-27T01:46:04.800000,22.08,0.88,0.7877,False,PASS,Synthetic benchmark observation #41. Seed=42
42,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q1,2,Osmotic Stress (0.4M Sorbitol),LB Broth,38.5,2,2024-03-27T17:36:00,2024-03-27T17:57:00,21.0,0.89,0.7788,False,PASS,Synthetic benchmark observation #42. Seed=42
43,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,3,Nutrient Depletion (0.1% Glucose),LB Broth,37.0,3,2024-03-28T09:48:00,2024-03-28T10:09:27.600000,21.46,0.87,0.7967,False,PASS,Synthetic benchmark observation #43. Seed=42
44,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,1,Control (Standard Media),LB Broth,37.0,4,2024-03-29T02:00:00,2024-03-29T02:15:15,15.25,0.7,0.9902,False,PASS,Synthetic benchmark observation #44. Seed=42
45,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q3,2,Rapamycin Inhibition (10 nM),LB Broth,37.0,5,2024-03-29T18:12:00,2024-03-29T18:34:51.600000,22.86,1.01,0.6863,False,PASS,Synthetic benchmark observation #45. Seed=42
46,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q4,3,Osmotic Stress (0.4M Sorbitol),LB Broth,37.0,1,2024-03-30T10:24:00,2024-03-30T10:45:00,21.0,0.82,0.8453,False,PASS,Synthetic benchmark observation #46. Seed=42
47,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q1,1,Osmotic Stress (0.4M Sorbitol),LB Broth,37.0,2,2024-03-31T02:36:00,2024-03-31T02:55:31.200000,19.52,0.79,0.8774,False,PASS,Synthetic benchmark observation #47. Seed=42
48,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,2,Osmotic Stress (0.4M Sorbitol),LB Broth,37.0,3,2024-03-31T18:48:00,2024-03-31T19:05:32.400000,17.54,0.89,0.7788,False,PASS,Synthetic benchmark observation #48. Seed=42
49,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q2,3,Control (Standard Media),LB Broth,37.0,4,2024-04-01T11:00:00,2024-04-01T11:16:13.200000,16.22,0.7,0.9902,False,PASS,Synthetic benchmark observation #49. Seed=42
50,CELL-EC-001,Escherichia coli,Rod-shaped bacterium,BATCH-2024-Q1,1,Osmotic Stress (0.4M Sorbitol),LB Broth,37.0,5,2024-04-02T03:12:00,2024-04-02T03:31:31.200000,19.52,0.83,0.8351,False,PASS,Synthetic benchmark observation #50. Seed=42
51,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q3,1,Osmotic Stress (0.4M Sorbitol),DMEM + 10% FBS,37.0,1,2024-03-31T22:24:00,2024-03-31T23:57:53.400000,93.89,27.87,0.0249,False,PASS,Synthetic benchmark observation #51. Seed=42
52,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q3,2,Nutrient Depletion (0.1% Glucose),DMEM + 10% FBS,37.0,2,2024-04-01T14:36:00,2024-04-01T16:06:00,90.0,31.21,0.0222,False,PASS,Synthetic benchmark observation #52. Seed=42
53,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q1,3,Thermal Stress (+5°C),DMEM + 10% FBS,42.0,3,2024-04-02T06:48:00,2024-04-02T08:16:20.400000,88.34,24.88,0.0279,False,PASS,Synthetic benchmark observation #53. Seed=42
54,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q1,1,Osmotic Stress (0.4M Sorbitol),DMEM + 10% FBS,36.1,4,2024-04-02T23:00:00,2024-04-03T00:37:48,97.8,28.15,0.0246,False,PASS,Synthetic benchmark observation #54. Seed=42
55,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q2,2,Control (Standard Media),DMEM + 10% FBS,37.0,5,2024-04-03T15:12:00,2024-04-03T16:32:00.600000,80.01,21.27,0.0326,False,PASS,Synthetic benchmark observation #55. Seed=42
56,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q1,3,Thermal Stress (+5°C),DMEM + 10% FBS,42.0,1,2024-04-04T07:24:00,2024-04-04T08:51:11.400000,87.19,27.73,0.025,False,PASS,Synthetic benchmark observation #56. Seed=42
57,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q2,1,Control (Standard Media),DMEM + 10% FBS,37.0,2,2024-04-04T23:36:00,2024-04-05T00:54:38.400000,78.64,23.9,0.029,False,PASS,Synthetic benchmark observation #57. Seed=42
58,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q3,2,Nutrient Depletion (0.1% Glucose),DMEM + 10% FBS,37.0,3,2024-04-05T15:48:00,2024-04-05T17:18:48,90.8,28.97,0.0239,False,PASS,Synthetic benchmark observation #58. Seed=42
59,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q4,3,Thermal Stress (+5°C),DMEM + 10% FBS,42.0,4,2024-04-06T08:00:00,2024-04-06T09:33:17.400000,93.29,25.92,0.0267,False,PASS,Synthetic benchmark observation #59. Seed=42
60,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q1,1,Control (Standard Media),DMEM + 10% FBS,37.0,5,2024-04-07T00:12:00,2024-04-07T01:20:09.600000,68.16,23.69,0.0293,False,PASS,Synthetic benchmark observation #60. Seed=42
61,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q2,2,Thermal Stress (+5°C),DMEM + 10% FBS,42.0,1,2024-04-07T16:24:00,2024-04-07T17:46:08.400000,82.14,27.59,0.0251,False,PASS,Synthetic benchmark observation #61. Seed=42
62,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q4,3,Rapamycin Inhibition (10 nM),DMEM + 10% FBS,37.0,2,2024-04-08T08:36:00,2024-04-08T08:38:00,2.0,18.0,0.0385,True,OUTLIER_SPECIES_DURATION,Synthetic benchmark observation #62. Seed=42
63,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q1,1,Nutrient Depletion (0.1% Glucose),DMEM + 10% FBS,37.0,3,2024-04-09T00:48:00,2024-04-09T02:15:09,87.15,30.78,0.0225,False,PASS,Synthetic benchmark observation #63. Seed=42
64,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q1,2,Nutrient Depletion (0.1% Glucose),DMEM + 10% FBS,37.0,4,2024-04-09T17:00:00,2024-04-09T18:39:18,99.3,32.31,0.0215,False,PASS,Synthetic benchmark observation #64. Seed=42
65,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q3,3,Control (Standard Media),DMEM + 10% FBS,37.0,5,2024-04-10T09:12:00,2024-04-10T10:21:02.400000,69.04,21.6,0.0321,False,PASS,Synthetic benchmark observation #65. Seed=42
66,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q4,1,Osmotic Stress (0.4M Sorbitol),DMEM + 10% FBS,37.0,1,2024-04-11T01:24:00,2024-04-11T03:01:39.600000,97.66,30.42,0.0228,False,PASS,Synthetic benchmark observation #66. Seed=42
67,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q2,2,Nutrient Depletion (0.1% Glucose),DMEM + 10% FBS,37.0,2,2024-04-11T17:36:00,2024-04-11T19:16:54,100.9,31.89,0.0217,False,PASS,Synthetic benchmark observation #67. Seed=42
68,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q2,3,Control (Standard Media),DMEM + 10% FBS,37.0,3,2024-04-12T09:48:00,2024-04-12T11:09:27.600000,81.46,21.9,0.0317,False,PASS,Synthetic benchmark observation #68. Seed=42
69,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q3,1,Nutrient Depletion (0.1% Glucose),DMEM + 10% FBS,37.0,4,2024-04-13T02:00:00,2024-04-13T03:31:33,91.55,31.35,0.0221,False,PASS,Synthetic benchmark observation #69. Seed=42
70,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q4,2,Control (Standard Media),DMEM + 10% FBS,37.0,5,2024-04-13T18:12:00,2024-04-13T19:26:24,74.4,23.64,0.0293,False,PASS,Synthetic benchmark observation #70. Seed=42
71,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q2,3,Thermal Stress (+5°C),DMEM + 10% FBS,42.0,1,2024-04-14T10:24:00,2024-04-14T11:53:00.600000,89.01,25.8,0.0269,False,PASS,Synthetic benchmark observation #71. Seed=42
72,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q3,1,Rapamycin Inhibition (10 nM),DMEM + 10% FBS,37.0,2,2024-04-15T02:36:00,2024-04-15T04:18:49.800000,102.83,30.38,0.0228,False,PASS,Synthetic benchmark observation #72. Seed=42
73,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q4,2,Thermal Stress (+5°C),DMEM + 10% FBS,42.0,3,2024-04-15T18:48:00,2024-04-15T20:20:10.800000,92.18,27.78,0.025,False,PASS,Synthetic benchmark observation #73. Seed=42
74,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q1,3,Thermal Stress (+5°C),DMEM + 10% FBS,42.0,4,2024-04-16T11:00:00,2024-04-16T12:34:21.600000,94.36,25.34,0.0274,False,PASS,Synthetic benchmark observation #74. Seed=42
75,CELL-HELA-001,Homo sapiens,Epithelial adenocarcinoma,BATCH-2024-Q3,1,Nutrient Depletion (0.1% Glucose),DMEM + 10% FBS,37.3,5,2024-04-17T03:12:00,2024-04-17T04:51:07.200000,99.12,29.63,0.0234,False,PASS,Synthetic benchmark observation #75. Seed=42
76,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q1,1,Rapamycin Inhibition (10 nM),DMEM + 10% BCS,37.0,1,2024-04-15T22:24:00,2024-04-16T00:09:04.800000,105.08,27.89,0.0249,False,PASS,Synthetic benchmark observation #76. Seed=42
77,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q1,2,Rapamycin Inhibition (10 nM),DMEM + 10% BCS,37.0,2,2024-04-16T14:36:00,2024-04-16T16:30:37.800000,114.63,28.9,0.024,False,PASS,Synthetic benchmark observation #77. Seed=42
78,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q3,3,Nutrient Depletion (0.1% Glucose),DMEM + 10% BCS,37.0,3,2024-04-17T06:48:00,2024-04-17T08:43:11.400000,115.19,27.49,0.0252,False,PASS,Synthetic benchmark observation #78. Seed=42
79,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q3,1,Osmotic Stress (0.4M Sorbitol),DMEM + 10% BCS,37.0,4,2024-04-17T23:00:00,2024-04-18T00:50:09.600000,110.16,23.22,0.0299,False,PASS,Synthetic benchmark observation #79. Seed=42
80,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q3,2,Osmotic Stress (0.4M Sorbitol),DMEM + 10% BCS,37.0,5,2024-04-18T15:12:00,2024-04-18T16:58:01.200000,106.02,24.01,0.0289,False,PASS,Synthetic benchmark observation #80. Seed=42
81,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q2,3,Osmotic Stress (0.4M Sorbitol),DMEM + 10% BCS,37.0,1,2024-04-19T07:24:00,2024-04-19T09:03:31.800000,99.53,25.35,0.0273,False,PASS,Synthetic benchmark observation #81. Seed=42
82,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q3,1,Nutrient Depletion (0.1% Glucose),DMEM + 10% BCS,37.0,2,2024-04-19T23:36:00,2024-04-20T01:18:04.800000,102.08,27.02,0.0257,False,PASS,Synthetic benchmark observation #82. Seed=42
83,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q4,2,Nutrient Depletion (0.1% Glucose),DMEM + 10% BCS,37.0,3,2024-04-20T15:48:00,2024-04-20T17:30:28.200000,102.47,26.09,0.0266,False,PASS,Synthetic benchmark observation #83. Seed=42
84,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q4,3,Rapamycin Inhibition (10 nM),DMEM + 10% BCS,37.0,4,2024-04-21T08:00:00,2024-04-21T09:56:59.400000,116.99,27.6,0.0251,False,PASS,Synthetic benchmark observation #84. Seed=42
85,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q1,1,Nutrient Depletion (0.1% Glucose),DMEM + 10% BCS,37.0,5,2024-04-22T00:12:00,2024-04-22T02:00:46.800000,108.78,26.32,0.0263,False,PASS,Synthetic benchmark observation #85. Seed=42
86,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q2,2,Control (Standard Media),DMEM + 10% BCS,37.0,1,2024-04-22T16:24:00,2024-04-22T17:43:53.400000,79.89,18.16,0.0382,False,PASS,Synthetic benchmark observation #86. Seed=42
87,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q1,3,Control (Standard Media),DMEM + 10% BCS,37.0,2,2024-04-23T08:36:00,2024-04-23T10:06:57,90.95,18.92,0.0366,False,PASS,Synthetic benchmark observation #87. Seed=42
88,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q4,1,Control (Standard Media),DMEM + 10% BCS,37.0,3,2024-04-24T00:48:00,2024-04-24T02:07:48.600000,79.81,19.39,0.0357,False,PASS,Synthetic benchmark observation #88. Seed=42
89,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q4,2,Rapamycin Inhibition (10 nM),DMEM + 10% BCS,37.0,4,2024-04-24T17:00:00,2024-04-24T17:35:00,35.0,0.5,1.3863,True,SUSPECT_DIVISION_EXCEEDS_CYCLE,Synthetic benchmark observation #89. Seed=42
90,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q4,3,Control (Standard Media),DMEM + 10% BCS,37.0,5,2024-04-25T09:12:00,2024-04-25T10:40:19.800000,88.33,19.92,0.0348,False,PASS,Synthetic benchmark observation #90. Seed=42
91,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q1,1,Rapamycin Inhibition (10 nM),DMEM + 10% BCS,37.0,1,2024-04-26T01:24:00,2024-04-26T03:06:07.800000,102.13,29.39,0.0236,False,PASS,Synthetic benchmark observation #91. Seed=42
92,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q4,2,Nutrient Depletion (0.1% Glucose),DMEM + 10% BCS,37.0,2,2024-04-26T17:36:00,2024-04-26T19:24:16.800000,108.28,27.65,0.0251,False,PASS,Synthetic benchmark observation #92. Seed=42
93,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q4,3,Rapamycin Inhibition (10 nM),DMEM + 10% BCS,37.0,3,2024-04-27T09:48:00,2024-04-27T11:47:16.800000,119.28,27.76,0.025,False,PASS,Synthetic benchmark observation #93. Seed=42
94,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q4,1,Rapamycin Inhibition (10 nM),DMEM + 10% BCS,37.0,4,2024-04-28T02:00:00,2024-04-28T03:53:32.400000,113.54,26.44,0.0262,False,PASS,Synthetic benchmark observation #94. Seed=42
95,CELL-NIH3T3-001,Mus musculus,Embryonic fibroblast,BATCH-2024-Q4,2,Osmotic Stress (0.4M Sorbitol),DMEM + 10% BCS,37.0,5,2024-04-28T18:12:00,2024-04-28T19:45:22.800000,93.38,23.81,0.0291,False,PASS,Synthetic benchmark observation #95. Seed=42
